co_course,co_type,co_period,dt_start,dt_stop
2011-12,intensiva,inicio_curso,2011-09-05,2011-09-30
2011-12,no_lectivo,otros,2011-09-06,2011-09-08
2011-12,no_lectivo,otros,2011-10-31,2011-10-31
2012-13,no_lectivo,otros,2011-12-09,2011-12-09
2011-12,vacaciones,navidad,2011-12-23,2012-01-08
2011-12,vacaciones,semana_santa,2012-03-30,2012-04-09
2011-12,no_lectivo,otros,2012-04-30,2012-04-30
2011-12,intensiva,fin_curso,2012-06-01,2012-06-22
2011-12,vacaciones,verano,2012-06-23,2012-09-05
2012-13,intensiva,inicio_curso,2012-09-06,2012-09-30
2012-13,no_lectivo,otros,2012-11-02,2012-11-02
2012-13,no_lectivo,otros,2012-12-07,2012-12-07
2012-13,intensiva,navidad,2012-12-21,2012-12-21
2012-13,vacaciones,navidad,2012-12-22,2013-01-07
2012-13,no_lectivo,otros,2013-01-28,2013-01-29
2012-13,vacaciones,semana_santa,2013-03-22,2013-04-01
2012-13,no_lectivo,otros,2013-05-03,2013-05-03
2012-13,intensiva,fin_curso,2013-06-01,2013-06-19
2012-13,vacaciones,verano,2013-06-20,2013-09-04
2013-14,intensiva,inicio_curso,2013-09-05,2013-09-30
2013-14,no_lectivo,otros,2013-09-06,2013-09-06
2013-14,intensiva,navidad,2013-12-20,2013-12-20
2013-14,vacaciones,navidad,2013-12-21,2014-01-08
2013-14,no_lectivo,otros,2014-01-31,2014-01-31
2013-14,no_lectivo,otros,2014-02-28,2014-02-28
2013-14,vacaciones,semana_santa,2014-04-11,2014-04-21
2013-14,intensiva,fin_curso,2014-06-01,2014-06-20
2013-14,vacaciones,verano,2014-06-21,2014-09-03
2014-15,intensiva,inicio_curso,2014-09-04,2014-09-30
2014-15,no_lectivo,otros,2014-09-05,2014-09-05
2014-15,no_lectivo,otros,2014-09-08,2014-09-08
2014-15,no_lectivo,otros,2014-10-31,2014-10-31
2014-15,no_lectivo,otros,2014-11-28,2014-11-28
2014-15,vacaciones,navidad,2014-12-20,2015-01-08
2014-15,no_lectivo,otros,2015-02-13,2015-02-13
2014-15,vacaciones,semana_santa,2015-03-27,2015-04-07
2014-15,intensiva,fin_curso,2015-06-01,2015-06-19
2014-15,vacaciones,verano,2015-06-20,2015-09-02
2015-16,intensiva,inicio_curso,2015-09-03,2015-09-30
2015-16,no_lectivo,otros,2015-09-04,2015-09-04
2015-16,no_lectivo,otros,2015-09-07,2015-09-07
2015-16,no_lectivo,otros,2015-12-07,2015-12-07
2015-16,intensiva,navidad,2015-12-22,2015-12-22
2015-16,vacaciones,navidad,2015-12-23,2016-01-08
2015-16,no_lectivo,otros,2016-02-08,2016-02-08
2015-16,vacaciones,semana_santa,2016-03-18,2016-03-29
2015-16,intensiva,fin_curso,2016-06-01,2016-06-21
2015-16,vacaciones,verano,2016-06-22,2016-09-05
2016-17,intensiva,inicio_curso,2016-09-06,2016-10-02
2016-17,no_lectivo,otros,2016-09-07,2016-09-07
2016-17,no_lectivo,otros,2016-10-31,2016-10-31
2016-17,no_lectivo,otros,2016-12-07,2016-12-07
2016-17,vacaciones,navidad,2016-12-23,2017-01-08
2016-17,no_lectivo,otros,2017-02-17,2017-02-17
2016-17,no_lectivo,otros,2017-03-17,2017-03-17
2016-17,vacaciones,semana_santa,2017-04-07,2017-04-17
2016-17,no_lectivo,otros,2017-05-01,2017-05-01
2016-17,intensiva,fin_curso,2017-06-01,2017-06-22
2016-17,vacaciones,verano,2017-06-23,2017-09-06
2017-18,intensiva,inicio_curso,2017-09-07,2017-10-01
2017-18,no_lectivo,otros,2017-12-07,2017-12-07
2017-18,no_lectivo,otros,2017-10-13,2017-10-13
2017-18,intensiva,navidad,2017-12-22,2017-12-22
2017-18,vacaciones,navidad,2017-12-25,2018-01-07
2017-18,no_lectivo,otros,2018-02-15,2018-02-16
2017-18,vacaciones,semana_santa,2018-03-23,2018-04-02
2017-18,no_lectivo,otros,2018-04-30,2018-04-30
2017-18,intensiva,fin_curso,2018-06-01,2018-06-22
2017-18,vacaciones,verano,2018-06-23,2018-09-03
2018-19,intensiva,inicio_curso,2018-09-06,2018-10-07
2018-19,intensiva,inicio_curso,2018-09-10,2018-10-10
2018-19,intensiva,inicio_curso,2018-09-17,2018-10-17
2018-19,intensiva,inicio_curso,2018-09-24,2018-10-24
2018-19,no_lectivo,otros,2018-12-06,2018-12-07
2018-19,intensiva,navidad,2018-12-21,2018-12-21
2018-19,vacaciones,navidad,2018-12-24,2019-01-07
2018-19,no_lectivo,otros,2019-03-01,2019-03-04
2018-19,vacaciones,semana_santa,2019-04-12,2019-04-22
2018-19,no_lectivo,otros,2019-05-03,2019-05-03
2018-19,intensiva,fin_curso,2019-06-03,2019-06-21
2018-19,vacaciones,verano,2019-06-22,2019-09-05
2019-20,intensiva,inicio_curso,2019-09-06,2019-10-06
2019-20,intensiva,inicio_curso,2019-09-09,2019-10-10
2019-20,intensiva,inicio_curso,2019-09-16,2019-10-16
2019-20,intensiva,inicio_curso,2019-09-23,2019-10-23
2019-20,intensiva,inicio_curso,2019-09-30,2019-10-30
2019-20,no_lectivo,otros,2019-12-06,2019-12-06
2019-20,no_lectivo,otros,2019-12-09,2019-12-09
2019-20,intensiva,navidad,2019-12-20,2019-12-20
2019-20,vacaciones,navidad,2019-12-23,2020-01-07
2019-20,no_lectivo,otros,2020-02-28,2020-02-28
2019-20,no_lectivo,otros,2020-03-02,2020-03-02
2019-20,no_lectivo,covid19,2020-03-11,2020-04-02
2019-20,vacaciones,semana_santa,2020-04-03,2020-04-13
